"Id","Data do Sorteio","Coluna 1","Coluna 2","Coluna 3","Coluna 4","Coluna 5","Coluna 6"
"140","11/7/1998","7","31","41","44","46","55"
"","","","","","","",""
"141","11/14/1998","10","13","22","41","42","58"
"","","","","","","",""
"142","11/21/1998","8","15","19","20","54","59"
"","","","","","","",""
"143","11/28/1998","6","18","20","40","50","53"
"","","","","","","",""
"144","12/5/1998","8","32","36","44","45","55"
"","","","","","","",""
"145","12/12/1998","15","16","31","41","43","51"
"","","","","","","",""
"146","12/19/1998","25","32","34","42","51","60"
"","","","","","","",""
"147","12/24/1998","6","16","23","24","28","38"
"","","","","","","",""
"148","12/31/1998","32","35","41","55","58","59"
"","","","","","","",""
"149","1/9/1999","7","11","20","28","45","48"
"","","","","","","",""
"150","1/16/1999","12","44","50","52","54","55"
"","","","","","","",""
"151","1/23/1999","3","16","20","43","52","56"
"","","","","","","",""
"152","1/30/1999","5","12","15","29","51","58"
"","","","","","","",""
"153","2/6/1999","2","30","31","42","45","47"
"","","","","","","",""
"154","2/13/1999","8","10","24","33","45","48"
"","","","","","","",""
"155","2/20/1999","12","30","32","35","43","44"
"","","","","","","",""
"156","2/27/1999","17","23","42","49","52","55"
"","","","","","","",""
"157","3/6/1999","4","13","17","21","41","44"
"","","","","","","",""
"158","3/13/1999","4","14","17","43","51","58"
"","","","","","","",""
"159","3/20/1999","9","11","16","35","50","58"
"","","","","","","",""
"160","3/27/1999","2","13","42","52","54","58"
"","","","","","","",""
"161","4/3/1999","6","25","30","37","39","41"
"","","","","","","",""
"162","4/10/1999","21","23","33","38","48","51"
"","","","","","","",""
"163","4/17/1999","8","27","36","41","53","56"
"","","","","","","",""
"164","4/24/1999","4","10","14","19","28","44"
"","","","","","","",""
"165","5/1/1999","10","19","23","35","39","56"
"","","","","","","",""
"166","5/8/1999","12","13","22","57","59","60"
"","","","","","","",""
"167","5/15/1999","1","11","28","33","38","48"
"","","","","","","",""
"168","5/22/1999","2","9","31","35","45","50"
"","","","","","","",""
"169","5/29/1999","1","13","21","37","51","52"
"","","","","","","",""
"170","6/5/1999","7","41","46","51","55","58"
"","","","","","","",""
"171","6/12/1999","4","27","40","43","46","54"
"","","","","","","",""
"172","6/19/1999","10","14","26","35","36","49"
"","","","","","","",""
"173","6/26/1999","17","28","29","42","49","50"
"","","","","","","",""
"174","7/3/1999","11","22","23","36","52","59"
"","","","","","","",""
"175","7/10/1999","1","10","13","20","42","50"
"","","","","","","",""
"176","7/17/1999","1","3","4","28","45","53"
"","","","","","","",""
"177","7/24/1999","22","35","38","39","41","59"
"","","","","","","",""
"178","7/31/1999","5","15","19","26","27","33"
"","","","","","","",""
"179","8/7/1999","5","6","23","26","27","53"
"","","","","","","",""
"180","8/14/1999","6","23","29","39","51","60"
"","","","","","","",""
"181","8/21/1999","1","27","33","35","51","55"
"","","","","","","",""
"182","8/28/1999","3","5","10","28","46","60"
"","","","","","","",""
"183","9/4/1999","2","7","11","16","40","44"
"","","","","","","",""
"184","9/11/1999","9","16","21","34","41","60"
"","","","","","","",""
"185","9/18/1999","17","22","43","46","55","59"
"","","","","","","",""
"186","9/25/1999","14","23","24","25","26","51"
"","","","","","","",""
"187","10/2/1999","6","36","41","44","48","58"
"","","","","","","",""
"188","10/10/1999","17","27","34","42","43","46"
"","","","","","","",""
"189","10/16/1999","4","15","31","38","41","53"
"","","","","","","",""
"190","10/24/1999","5","10","21","32","40","42"
"","","","","","","",""
"191","10/31/1999","1","3","5","23","41","58"
"","","","","","","",""
"192","11/6/1999","1","26","28","41","54","60"
"","","","","","","",""
"193","11/13/1999","4","11","12","19","43","49"
"","","","","","","",""
"194","11/20/1999","25","28","32","33","42","43"
"","","","","","","",""
"195","11/27/1999","3","9","17","32","37","44"
"","","","","","","",""
"196","12/4/1999","7","9","14","17","24","32"
"","","","","","","",""
"197","12/11/1999","5","12","15","19","29","52"
"","","","","","","",""
"198","12/18/1999","1","8","18","23","35","40"
"","","","","","","",""
"199","12/24/1999","10","16","37","50","52","57"
"","","","","","","",""
"200","12/31/1999","12","15","19","34","44","51"
"","","","","","","",""
"201","1/8/2000","5","20","22","30","35","55"
"","","","","","","",""
"202","1/15/2000","12","24","44","45","49","53"
"","","","","","","",""
"203","1/22/2000","11","19","29","44","47","55"
"","","","","","","",""
"204","1/29/2000","29","31","39","41","51","58"
"","","","","","","",""
"205","2/5/2000","26","32","40","43","46","54"
"","","","","","","",""
"206","2/12/2000","18","20","26","34","51","56"
"","","","","","","",""
"207","2/19/2000","3","7","19","24","53","55"
"","","","","","","",""
"208","2/26/2000","15","23","24","25","47","57"
"","","","","","","",""
"209","3/4/2000","13","21","26","32","41","52"
"","","","","","","",""
"210","3/11/2000","20","32","37","38","48","58"
"","","","","","","",""
"211","3/18/2000","10","20","33","40","45","50"
"","","","","","","",""
"212","3/25/2000","6","15","29","45","57","59"
"","","","","","","",""
"213","4/1/2000","3","9","23","30","32","35"
"","","","","","","",""
"214","4/8/2000","6","12","30","31","35","50"
"","","","","","","",""
"215","4/15/2000","7","28","37","46","53","58"
"","","","","","","",""
"216","4/22/2000","14","18","30","35","42","59"
"","","","","","","",""
"217","4/29/2000","3","27","32","45","49","51"
"","","","","","","",""
"218","5/6/2000","12","17","40","42","47","54"
"","","","","","","",""
"219","5/13/2000","23","26","28","36","42","49"
"","","","","","","",""
"220","5/20/2000","13","14","36","53","55","60"
"","","","","","","",""
"221","5/27/2000","13","27","43","50","54","58"
"","","","","","","",""
"222","6/3/2000","5","19","30","48","52","55"
"","","","","","","",""
"223","6/10/2000","2","6","22","24","28","58"
"","","","","","","",""
"224","6/17/2000","7","16","18","20","21","44"
"","","","","","","",""
"225","6/24/2000","2","4","16","21","37","58"
"","","","","","","",""
"226","7/1/2000","1","2","38","49","50","59"
"","","","","","","",""
"227","7/8/2000","11","26","27","37","42","48"
"","","","","","","",""
"228","7/15/2000","13","16","40","43","45","59"
"","","","","","","",""
"229","7/22/2000","11","13","21","33","39","45"
"","","","","","","",""
"230","7/29/2000","8","40","41","44","53","56"
"","","","","","","",""
"231","8/5/2000","16","27","36","42","44","59"
"","","","","","","",""
"232","8/12/2000","19","22","29","37","41","59"
"","","","","","","",""
"233","8/19/2000","3","7","24","32","36","45"
"","","","","","","",""
"234","8/26/2000","15","25","41","42","45","54"
"","","","","","","",""
"235","9/2/2000","2","22","29","31","41","55"
"","","","","","","",""
"236","9/9/2000","10","25","50","52","57","60"
"","","","","","","",""
"237","9/16/2000","7","31","36","45","56","57"
"","","","","","","",""
"238","9/23/2000","9","13","15","37","41","42"
"","","","","","","",""
"239","9/30/2000","6","21","33","44","46","47"
"","","","","","","",""
"240","10/7/2000","25","28","38","41","57","59"
"","","","","","","",""
"241","10/14/2000","11","31","35","40","56","57"
"","","","","","","",""
"242","10/21/2000","4","7","21","22","28","56"
"","","","","","","",""
"243","10/28/2000","11","16","20","23","32","47"
"","","","","","","",""
"244","11/4/2000","19","24","33","47","50","60"
"","","","","","","",""
"245","11/11/2000","8","27","44","51","53","60"
"","","","","","","",""
"246","11/18/2000","2","16","32","37","43","57"
"","","","","","","",""
"247","11/25/2000","3","10","23","30","34","46"
"","","","","","","",""
"248","12/2/2000","16","32","34","35","41","56"
"","","","","","","",""
"249","12/9/2000","21","36","40","49","54","55"
"","","","","","","",""
"250","12/16/2000","7","25","41","42","43","55"
"","","","","","","",""
"251","12/23/2000","15","23","30","34","49","55"
